name;lat;lon;solo_type;exposicao;altitude_m;trail_type;desnivel_m;extensao_km;regiao;bioma
Downhill Saracura - Mairipora - SP;-23.301207;-46.596257;misto;fechada;850;bikepark;289;2.2;SP;Mata Atlântica
DH42 - Mairipora - SP;-23.353747;-46.585486;misto;aberta;1050;bikepark;148;0.8;SP;Mata Atlântica
ZigZag - Campos do Jordao - SP;-22.768683;-45.614767;preto;fechada;1630;natural;480;32;SP;Mata Atlântica
Ned Trail Zoom Bike Park - Campos do Jordao - SP;-22.687191;-45.506528;misto;aberta;1550;bikepark;112;2.1;SP;Mata Atlântica
Atibaia Crew - Atibaia - SP;-23.156147;-46.536995;misto;aberta;973;bikepark;163;1.33;SP;Mata Atlântica
Reserva Natural Park - Sao Paulo - SP;-23.584390;-46.462871;terra;fechada;780;bikepark;85;0.6;SP;Mata Atlântica
Trilha dos Macacos - Mairipora - SP;-23.412840;-46.621071;terra;fechada;870;natural;159;4.4;SP;Mata Atlântica
FuryLine Pedra Rachada - Mairipora - SP;-23.354847;-46.625712;preto;aberta;950;bikepark;78;0.5;SP;Mata Atlântica
Morro do Cruzeiro - Sao Roque - SP;-23.538200;-47.147434;misto;aberta;920;bikepark;141;0.62;SP;
Mobai Bike Park - SJC - SP;-23.291376;-45.814630;misto;fechada;680;bikepark;114;0.8;SP;Mata Atlântica
Asa Racing - Sao Vicente - SP;-23.964170;-46.362148;terra;Fechada;320;bikepark;;;SP;Mata Atlântica
Pico Do Lopo - Extrema - MG;-22.881373;-46.308211;misto;Fechada;1700;natural;411;2.85;MG;Mata Atlântica
Trilhas Auracarias - Braganca Paulista - SP;-22.986798;-46.513658;misto;fechada;900;bikepark;50;0.8;SP;Mata Atlântica
Busca Vida - Braganca Paulista - SP;-22.987554;-46.433942;misto;aberta;880;bikepark;116;0.6;SP;Mata Atlântica
Jahpi - Jundiai - SP;-23.266210;-46.943393;preto;fechada;1050;bikepark;460;4.5;SP;Mata Atlântica
DH Vinhedo - Vinhedo - SP;-23.048062;-46.981932;misto;aberta;780;bikepark;94;0.6;SP;Mata Atlântica
Enduro- Morungaba - SP;-22.533734;-46.485148;misto;fechada;1033;natural;283;2.3;SP;Mata Atlântica
DH do Cristo - Serra Negra - SP;-22.603606;-46.698852;misto;aberta;1100;bikepark;156;1;SP;Mata Atlântica
EncostaBP Mirante do Cristo - Socorro - SP;-22.353208;-46.321039;terra;aberta;930;bikepark;144;1.5;SP;Mata Atlântica
DH Heineken short - Itabirito - MG;-20.224394;-43.971293;ferro;aberta;1445;bikepark;93;0.40;MG;
Damatta Ponte Madeira - Nova Lima - MG;-20.102598;-43.953004;ferro;aberta;1479;bikepark;81;0.62;MG;
Matinha Entrada Jack- Nova Lima - MG;-20.184372;-43.928371;ferro;fechada;1368;bikepark;38;0.30;MG;
Subida Anos 80 - Nova Lima - MG;-20.023006;-43.925712;ferro;aberta;1112;bikepark;65;0.82;MG;
Mestre Yoga - Caetanopolis - MG;-19.396532;-44.400938;terra;aberta;944;bikepark;76;0.75;MG;
DH Mumia - Rio Acima - MG;-20.077077;-43.727797;ferro;aberta;1336;bikepark;198;2.73;MG;
Mestre (2ª Parte) 2/3 - Ibirité - MG;-20.043096;-44.012543;misto_mg;aberta;1329;bikepark;91;0.42;MG;
